City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,282.22,91,100,12.1,TF,1707957583
1,oodweyne,9.4092,45.064,293.06,44,0,3.42,SO,1707957583
2,qaqortoq,60.7167,-46.0333,272.56,98,100,2.37,GL,1707957583
3,port lincoln,-34.7333,135.8667,291.56,58,12,5.18,AU,1707957379
4,daru,-9.0763,143.2092,304.06,66,99,2.46,PG,1707957583
5,daimiel,39.07,-3.615,285.39,93,100,1.69,ES,1707957583
6,adamstown,-25.066,-130.1015,298.42,87,3,6.69,PN,1707957583
7,petropavlovsk-kamchatsky,53.0452,158.6483,262.48,92,75,4.0,RU,1707957583
8,invercargill,-46.4,168.35,285.38,97,100,0.89,NZ,1707957583
9,karratha,-20.7377,116.8463,303.04,64,85,5.05,AU,1707957584
10,anadyr,64.75,177.4833,247.43,76,0,5.0,RU,1707957584
11,fuyang,32.9,115.8167,280.09,74,100,5.21,CN,1707957584
12,dudinka,69.4058,86.1778,246.86,97,43,3.13,RU,1707957584
13,pisco,-13.7,-76.2167,298.18,69,0,9.26,PE,1707957584
14,talcahuano,-36.7167,-73.1167,289.97,82,20,1.54,CL,1707957584
15,ushuaia,-54.8,-68.3,280.96,87,75,7.2,AR,1707957376
16,tazovsky,67.4667,78.7,245.96,95,88,4.04,RU,1707957584
17,el nido,11.1858,119.3956,300.37,74,4,7.25,PH,1707957584
18,nova sintra,14.8667,-24.7167,293.86,77,0,6.9,CV,1707957584
19,port isabel,26.0734,-97.2086,295.19,91,100,4.63,US,1707957584
20,wailua homesteads,22.0669,-159.378,298.59,64,100,7.2,US,1707957584
21,grytviken,-54.2811,-36.5092,276.51,79,22,6.38,GS,1707957584
22,sal rei,16.1833,-22.9167,295.93,77,0,7.94,CV,1707957584
23,potosi,-19.5836,-65.7531,283.33,82,100,2.81,BO,1707957584
24,brookings,44.3114,-96.7984,269.15,94,100,5.66,US,1707957359
25,puerto natales,-51.7236,-72.4875,284.4,93,100,5.66,CL,1707957584
26,coquimbo,-29.9533,-71.3436,293.0,82,100,3.6,CL,1707957585
27,bethel,41.3712,-73.414,272.2,51,0,2.06,US,1707957585
28,blackmans bay,-43.0167,147.3167,293.44,50,20,3.05,AU,1707957585
29,mejit,10.2753,170.8646,299.21,77,62,8.46,MH,1707957585
30,lebu,-37.6167,-73.65,287.32,92,2,1.07,CL,1707957585
31,bintulu,3.1667,113.0333,299.38,88,20,0.0,MY,1707957585
32,levuka,50.1834,-105.4011,265.0,73,75,4.12,CA,1707957585
33,waitangi,-43.9535,-176.5597,291.94,88,0,9.99,NZ,1707957585
34,kaithal,29.8,76.3833,283.39,46,0,2.67,IN,1707957585
35,lupane,-18.9315,27.807,288.61,54,0,1.9,ZW,1707957585
36,tura,25.5198,90.2201,289.32,70,100,1.29,IN,1707957585
37,sitka,57.0531,-135.33,280.09,61,0,0.0,US,1707957586
38,margaret river,-33.95,115.0667,296.99,47,100,2.32,AU,1707957500
39,isafjordur,66.0755,-23.124,265.74,90,76,3.48,IS,1707957586
40,majdanpek,44.4277,21.946,272.15,87,3,2.2,RS,1707957586
41,papatowai,-46.5619,169.4708,283.7,92,100,1.9,NZ,1707957586
42,mishan,45.55,131.8833,262.79,71,75,1.67,CN,1707957586
43,saint-pierre,-21.3393,55.4781,296.97,88,0,2.57,RE,1707957586
44,west island,-12.1568,96.8225,300.14,74,40,4.12,CC,1707957586
45,iqaluit,63.7506,-68.5145,253.0,83,75,0.0,CA,1707957586
46,nasiriyah,31.0521,46.261,291.22,82,1,8.61,IQ,1707957586
47,podporozh'ye,60.9112,34.1706,260.82,94,100,3.95,RU,1707957586
48,albany,42.6001,-73.9662,269.51,59,5,1.79,US,1707957454
49,udachny,66.4167,112.4,245.46,99,100,1.29,RU,1707957586
50,devils lake,48.1128,-98.8651,266.14,70,0,6.69,US,1707957586
51,longyearbyen,78.2186,15.6401,275.06,75,75,5.14,SJ,1707957586
52,valdivia,-39.8142,-73.2459,292.2,87,31,1.17,CL,1707957587
53,puerto ayora,-0.7393,-90.3518,300.68,93,89,2.24,EC,1707957587
54,canta,41.1181,28.0803,279.41,81,75,10.29,TR,1707957587
55,mpraeso,6.5932,-0.7346,296.64,92,85,1.67,GH,1707957587
56,bilibino,68.0546,166.4372,243.5,95,100,1.29,RU,1707957587
57,meadow lake,34.8014,-106.5436,286.86,17,0,5.43,US,1707957587
58,yellowknife,62.456,-114.3525,249.44,92,75,2.57,CA,1707957498
59,talnakh,69.4865,88.3972,243.95,93,85,1.09,RU,1707957379
60,nemuro,43.3236,145.575,272.52,82,100,1.98,JP,1707957587
61,achacachi,-16.05,-68.6833,281.28,90,100,3.69,BO,1707957587
62,punta arenas,-53.15,-70.9167,283.21,93,75,3.6,CL,1707957468
63,chrysoupolis,40.9856,24.6939,280.41,67,100,1.66,GR,1707957587
64,pacific grove,36.6177,-121.9166,288.21,79,100,8.94,US,1707957587
65,eastham,41.8301,-69.9739,273.12,60,0,5.36,US,1707957587
66,saynshand,44.8824,110.1163,255.65,82,2,3.78,MN,1707957588
67,tambopata,-12.7333,-69.1833,295.95,99,99,0.95,PE,1707957588
68,lihue,21.9789,-159.3672,298.92,63,100,7.2,US,1707957377
69,jamestown,42.097,-79.2353,271.92,62,100,4.63,US,1707957588
70,kikwit,-5.041,18.8162,296.27,92,100,0.75,CD,1707957588
71,edinburgh of the seven seas,-37.0676,-12.3116,292.0,84,6,7.86,SH,1707957588
72,tiksi,71.6872,128.8694,240.12,100,95,1.39,RU,1707957588
73,lichuan,30.3,108.85,277.51,92,100,1.96,CN,1707957588
74,tha khanon,9.0302,98.9529,300.38,86,28,1.5,TH,1707957588
75,remire-montjoly,4.9167,-52.2667,300.17,78,75,3.6,GF,1707957588
76,grootfontein,-19.5667,18.1167,295.91,46,39,1.54,NA,1707957588
77,san jose del guaviare,2.5729,-72.6459,299.48,76,93,1.85,CO,1707957588
78,kone,-21.0595,164.8658,303.32,66,80,3.09,NC,1707957588
79,lompoc,34.6391,-120.4579,289.7,67,40,4.12,US,1707957588
80,hailey,43.5196,-114.3153,273.09,86,100,3.6,US,1707957511
81,minot air force base,48.4209,-101.3391,266.25,67,0,5.14,US,1707957588
82,praia da vitoria,38.7333,-27.0667,288.57,82,40,6.07,PT,1707957588
83,sisimiut,66.9395,-53.6735,254.52,64,12,2.68,GL,1707957589
84,luganville,-15.5333,167.1667,303.81,75,19,2.44,VU,1707957589
85,recani,31.2846,-4.2688,290.6,30,52,3.17,MA,1707957589
86,hobyo,5.3505,48.5268,299.14,82,91,7.06,SO,1707957589
87,altar,30.7,-111.8167,292.35,24,0,2.15,MX,1707957589
88,el granada,37.5027,-122.4694,287.09,90,100,11.32,US,1707957589
89,tamanrasset,22.785,5.5228,289.1,25,0,3.09,DZ,1707957589
90,coari,-4.085,-63.1414,297.42,97,99,1.19,BR,1707957589
91,stanley,54.868,-1.6985,282.75,96,100,2.5,GB,1707957589
92,sabha,27.0377,14.4283,283.83,55,0,4.12,LY,1707957589
93,hawaiian paradise park,19.5933,-154.9731,300.88,68,20,6.17,US,1707957589
94,prado,-17.3411,-39.2208,299.37,88,100,4.24,BR,1707957589
95,saudarkrokur,65.7461,-19.6394,271.77,96,100,3.91,IS,1707957589
96,wakkanai,45.4094,141.6739,271.14,90,75,4.92,JP,1707957589
97,nantucket,41.2835,-70.0995,272.23,47,0,9.77,US,1707957589
98,tahoua,14.8888,5.2692,298.14,22,0,4.63,NE,1707957589
99,yuzhno-kurilsk,44.0306,145.8556,271.69,91,99,1.74,RU,1707957590
100,cabo san lucas,22.8909,-109.9124,294.68,69,100,2.06,MX,1707957175
101,island harbour,50.724,-1.2758,286.01,95,100,4.02,GB,1707957590
102,badger,64.8,-147.5333,283.29,58,20,0.0,US,1707957590
103,port elizabeth,-33.918,25.5701,293.32,81,100,2.24,ZA,1707957590
104,avarua,-21.2078,-159.775,304.18,66,20,8.75,CK,1707957590
105,hasaki,35.7333,140.8333,286.09,64,100,8.71,JP,1707957590
106,olonkinbyen,70.9221,-8.7187,270.14,92,100,10.92,SJ,1707957590
107,fort st. john,56.2499,-120.8529,270.09,43,20,1.54,CA,1707957590
108,singkawang,0.9,109.0,299.47,91,35,1.88,ID,1707957590
109,arraial do cabo,-22.9661,-42.0278,297.35,90,100,2.16,BR,1707957545
110,kabrai,25.4167,80.0167,287.56,67,0,1.51,IN,1707957590
111,enewetak,11.3474,162.3373,299.39,77,100,9.59,MH,1707957590
112,mahina,-17.5065,-149.489,304.02,74,20,6.17,PF,1707957590
113,aberdeen,57.1437,-2.0981,279.56,100,100,3.6,GB,1707957591
114,college,64.8569,-147.8028,283.33,58,20,0.0,US,1707957591
115,nyurba,63.2842,118.3319,233.32,100,100,1.39,RU,1707957591
116,hadibu,12.65,54.0333,297.25,76,44,4.21,YE,1707957591
117,peterhead,57.5058,-1.7981,279.51,99,100,5.02,GB,1707957591
118,mana,5.6592,-53.7767,299.67,73,96,5.01,GF,1707957591
119,hamilton,39.1834,-84.5333,280.89,52,0,3.09,US,1707957490
120,oban,56.4127,-5.4706,278.92,94,100,2.61,GB,1707957591
121,saint-philippe,-21.3585,55.7679,296.92,89,73,3.7,RE,1707957591
122,cabedelo,-6.9811,-34.8339,301.52,80,100,4.11,BR,1707957581
123,arkhangel'sk,64.5401,40.5433,250.44,76,0,3.0,RU,1707957592
124,constantia,44.1833,28.65,278.54,77,100,9.08,RO,1707957592
125,horta,38.5333,-28.6333,289.27,75,100,8.05,PT,1707957592
126,caleta de carquin,-11.0925,-77.6267,298.02,81,100,4.45,PE,1707957592
127,vadso,70.0744,29.7487,260.24,78,100,7.72,NO,1707957592
128,mohr,54.3528,9.7167,283.23,99,100,3.09,DE,1707957592
129,sinop,41.7711,34.8709,280.44,89,100,1.46,TR,1707957592
130,guerrero negro,27.9769,-114.0611,289.08,64,3,6.09,MX,1707957329
131,boende,-0.2167,20.8667,296.2,87,100,1.15,CD,1707957592
132,port mathurin,-19.6833,63.4167,300.52,81,100,9.15,MU,1707957592
133,springbok,-29.6643,17.8865,287.91,86,100,2.44,ZA,1707957592
134,ponta delgada,37.7333,-25.6667,288.55,77,20,5.66,PT,1707957592
135,colonia,50.9333,6.95,286.51,90,100,3.09,DE,1707957359
136,quellon,-43.1167,-73.6167,286.83,84,89,2.17,CL,1707957592
137,kurtamysh,54.9103,64.4319,245.13,93,7,5.36,RU,1707957592
138,stonehaven,56.9637,-2.2118,279.58,99,100,0.32,GB,1707957593
139,sandnessjoen,66.0217,12.6316,268.44,95,100,11.45,NO,1707957593
140,hermanus,-34.4187,19.2345,287.48,77,56,4.14,ZA,1707957593
141,boyolangu,-8.1181,111.8935,300.54,85,72,1.42,ID,1707957593
142,nasirabad,26.3,74.7333,286.12,25,0,2.77,IN,1707957593
143,vilyuchinsk,52.9306,158.4028,263.3,91,100,1.82,RU,1707957593
144,thompson,55.7435,-97.8558,254.24,78,75,3.6,CA,1707957593
145,whitehorse,60.7161,-135.0538,267.05,73,75,2.06,CA,1707957593
146,awjilah,29.1081,21.2869,285.22,67,6,6.52,LY,1707957593
147,carnarvon,-24.8667,113.6333,299.64,70,79,5.1,AU,1707957593
148,port saint john's,-31.6229,29.5448,296.23,89,92,1.23,ZA,1707957593
149,dourados,-22.2211,-54.8056,296.72,90,100,2.75,BR,1707957436
150,yung shue wan,22.2333,114.1167,294.44,82,4,1.99,HK,1707957593
151,georgetown,5.4112,100.3354,300.11,78,20,2.57,MY,1707957593
152,bol,13.4586,14.7147,295.83,33,9,5.81,TD,1707957594
153,sinabang,2.4803,96.3801,300.71,80,25,0.96,ID,1707957594
154,keflavik,64.0049,-22.5624,274.39,93,40,4.12,IS,1707957594
155,suva,-18.1416,178.4415,303.86,74,75,4.63,FJ,1707957305
156,ribeira grande,38.5167,-28.7,289.69,75,100,8.05,PT,1707957594
157,fenyi,27.8112,114.6681,287.34,89,100,4.98,CN,1707957594
158,wenling,28.3669,121.36,288.56,72,31,2.76,CN,1707957594
159,afaahiti,-17.75,-149.2833,303.08,82,100,8.79,PF,1707957594
160,labrador city,52.9463,-66.9114,262.1,82,100,4.12,CA,1707957594
161,port sudan,19.6175,37.2164,296.11,83,68,3.17,SD,1707957594
162,olinda,-8.0089,-34.8553,302.0,79,75,3.6,BR,1707957594
163,fale old settlement,-9.3852,-171.2468,301.21,84,100,10.18,TK,1707957594
164,grenada,37.1882,-3.6067,286.3,83,0,2.06,ES,1707957490
165,al bardiyah,31.7561,25.0865,287.2,68,100,4.45,LY,1707957594
166,saatli,36.7871,36.8716,280.67,91,55,0.46,TR,1707957594
167,artigas,-30.4,-56.4667,293.1,64,100,3.81,UY,1707957594
168,haiku-pauwela,20.9219,-156.3051,299.4,62,20,8.75,US,1707957595
169,namie,37.4833,141.0,290.36,50,15,0.45,JP,1707957595
170,happy valley-goose bay,53.3168,-60.3315,268.32,74,100,5.66,CA,1707957595
171,khandyga,62.6667,135.6,240.92,97,100,0.25,RU,1707957595
172,mount isa,-20.7333,139.5,298.02,94,100,3.09,AU,1707957595
173,kinston,35.2627,-77.5816,283.77,71,0,0.0,US,1707957461
174,ancud,-41.8697,-73.8203,286.72,92,40,2.4,CL,1707957595
175,ambon,-3.6954,128.1814,304.23,66,20,4.12,ID,1707957406
176,rongelap,11.1635,166.8941,299.45,75,100,9.19,MH,1707957595
177,qamdo,31.1667,97.2333,266.16,75,100,1.83,CN,1707957595
178,prince rupert,54.3161,-130.3201,282.2,43,0,4.12,CA,1707957595
179,aras-asan,8.8908,126.3033,300.01,72,84,1.24,PH,1707957595
180,dryden,49.7833,-92.7503,268.31,80,100,4.63,CA,1707957595
181,aracruz,-19.8203,-40.2733,299.71,90,100,1.58,BR,1707957595
182,kavaratti,10.5669,72.642,300.92,69,96,4.5,IN,1707957595
183,rio san juan,19.6439,-70.0763,297.05,85,28,2.76,DO,1707957595
184,cururupu,-1.8283,-44.8683,297.99,91,76,1.61,BR,1707957596
